Country,gt10_ha,gt15_ha,gt20_ha,gt25_ha,gt30_ha,gt50_ha,gt75_ha
Bosnia and Herzegovina,2899801,2814443,2777231,2730524,2657977,2477204,2054725
Greece,4767472,4430426,4303498,3982814,3672497,2960493,2115634
Nepal,5599956,5421026,5366019,5301045,5161041,4308186,2131920
Czech Republic,3241714,3181652,3152385,3122733,3078239,2877793,2233332
Equatorial Guinea,2667095,2664656,2659671,2658359,2654595,2633384,2447617
Georgia,3369287,3289879,3253560,3216330,3144573,2956338,2500619
Latvia,3725907,3661864,3628577,3595301,3553507,3321042,2612534
Sri Lanka,4241161,4168256,4117765,4041273,3939923,3546041,2617454
Solomon Islands,2750155,2747027,2745124,2743968,2741618,2731815,2687664
Cuba,4401513,4277159,4188617,4115595,4014607,3617394,2878344
Costa Rica,4105281,4046804,3994047,3960009,3913049,3684715,3118551
Bulgaria,4461216,4376912,4323226,4247843,4138948,3858691,3198280
Austria,4515680,4443050,4417529,4389130,4336043,4114724,3394269
Liberia,9541828,9518516,9446136,9433510,9384713,9055166,3611671
Angola,95951383,82808320,65957913,63356654,55315324,31934713,3787967
Panama,5942134,5871667,5807150,5763631,5700500,5454717,4969309
Spain,14325896,13060535,12477409,11746669,11018923,8099431,5246616
Honduras,8440306,8254434,8047225,7883572,7740482,6696598,5266740
Guatemala,8273454,8108012,7949441,7822918,7693456,6951963,5756630
Belarus,9653863,9455125,9363934,9256623,9106664,8373066,5791196
Nicaragua,8389068,8211340,8037770,7919892,7776807,7067162,5828861
Cambodia,10198762,9651905,9444202,9161044,8810198,7482672,5842946
Madagascar,33190888,26503413,19454928,18656021,17141085,12241379,5863678
Turkey,12908990,11968318,11557657,10668298,10060828,8214010,5909723
Norway,12814179,12248939,12155488,11977754,11739521,9807526,6246633
Romania,8499168,8307314,8201225,8096150,7915161,7383118,6284183
Italy,10448895,10152454,9989347,9702188,9318961,8382318,6479927
Poland,11186381,10911256,10782027,10651548,10461917,9550502,6485773
Ukraine,13150623,12463737,12056359,11637713,11125321,9683765,6850223
Central African Republic,59989298,57551160,52862072,51730588,47076844,30770591,6875513
Paraguay,26916419,26450845,25774239,25009615,24296867,13995686,7547197
French Guiana,8170479,8168549,8166630,8164372,8162751,8153382,8131836
Germany,13445852,13058890,12915618,12729806,12526554,11706933,9189487
New Zealand,11608650,11527813,11447344,11385826,11282734,10820584,9383302
Finland,22796065,22256213,22134168,21939050,21627650,18308142,10425928
Argentina,43380537,42376954,41252924,40144116,39086979,23116356,10594207
Vietnam,18172021,17562797,17264997,17010949,16576205,14782764,10695831
Thailand,21919487,21200980,20870275,20556805,19962442,17966880,11044471
France,18354637,17831168,17581726,17254573,16783020,15270417,11568535
Suriname,13982210,13972087,13964162,13955326,13949809,13913267,13856534
Philippines,19798522,19384344,19165121,18993928,18599417,17415156,14110100
Chile,20639726,20339358,19949634,19588691,19287066,17815815,14205541
Lao PDR,19789295,19545856,19430061,19305226,19118455,18114850,14490563
Sweden,29457028,28729575,28562851,28277926,27883713,24023218,15424344
Ecuador,19807389,19574857,19378336,19234433,19065845,17951244,15877717
India,49071700,44937294,43684630,41719197,38813138,30450063,16782932
Cameroon,41716440,39994163,35158677,34255065,31459331,25260677,17481727
Australia,65957075,57579747,48248730,46665870,42309948,25737010,17788720
Guyana,19068841,19051731,19030637,19010115,18996031,18900465,18768614
"Congo, Rep.",33515798,32477965,29285884,28568094,26384046,23941472,21417400
Gabon,25910334,25573907,25062630,24969613,24690966,24158395,23070299
Japan,27277246,26886542,26733841,26559203,26387250,25597510,23385512
Malaysia,29777320,29658294,29575136,29522882,29421847,28968519,27241146
Myanmar,45081506,44218974,43926415,43576684,42859651,39790019,27442261
Mexico,63724562,60317278,57511257,55233134,53185271,42132452,29501004
Papua New Guinea,43708041,43427170,43288481,43157490,42938237,41992854,39663963
Bolivia,66486470,66012921,65454398,65004988,64521464,57489600,47837881
"Venezuela, RB",58856143,58220338,57548171,57118791,56533525,53746319,49368335
China,189014081,179441169,175547018,170164178,162739064,131366657,61891727
Colombia,84482106,83621362,82904006,82449764,81781026,78295180,72170680
Peru,79062782,78702683,78435701,78234343,78069281,76814349,74458760
"Congo, Dem. Rep.",227683907,226087783,214373402,211285429,199224308,164361630,119049201
Indonesia,165441766,163976717,163119605,162218886,160974919,155385645,141185876
United States,314964844,303021225,293871017,287035386,279376624,244567018,198290233
Canada,469568055,448824142,437098734,431009884,418066969,324180951,216719269
Russia,883847532,824066299,810020071,786058988,761227259,601268646,330492649
Brazil,548443422,541492405,532402420,526622625,519187505,475688329,429233681
