"","name","group_assignment"
"Viet Nam","Viet Nam","2"
"Armenia","Armenia","2"
"Nauru","Nauru","2"
"New Caledonia","New Caledonia","2"
"Papua New Guinea","Papua New Guinea","2"
"Sudan (former)","Sudan (former)","3"
"Czechoslovakia","Czechoslovakia","1"
"Dominica","Dominica","2"
"Montserrat","Montserrat","2"
"Saint Kitts and Nevis","Saint Kitts and Nevis","1"
"Saint Lucia","Saint Lucia","2"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","6"
"Congo, the Democratic Republic of the","Congo, the Democratic Republic of the","3"
"Gabon","Gabon","4"
"Sierra Leone","Sierra Leone","2"
"Senegal","Senegal","2"
"Bahamas","Bahamas","4"
"Bermuda","Bermuda","4"
"Cayman Islands","Cayman Islands","4"
"Virgin Islands, British","Virgin Islands, British","4"
"Algeria","Algeria","2"
"Cabo Verde","Cabo Verde","2"
"Congo","Congo","3"
"Democratic People's Republic of Korea","Democratic People's Republic of Korea","1"
"Dominican Republic","Dominican Republic","2"
"Equatorial Guinea","Equatorial Guinea","1"
"Ethiopia PDR","Ethiopia PDR","1"
"Gibraltar","Gibraltar","1"
"Netherlands Antilles (former)","Netherlands Antilles (former)","6"
"Turks and Caicos Islands","Turks and Caicos Islands","1"
"Uzbekistan","Uzbekistan","6"
"Azerbaijan","Azerbaijan","6"
"Falkland Islands (Malvinas)","Falkland Islands (Malvinas)","2"
"French Polynesia","French Polynesia","2"
"Guinea","Guinea","2"
"Haiti","Haiti","2"
"Maldives","Maldives","1"
"Mauritania","Mauritania","2"
"Reunion","Reunion","2"
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha","3"
"Saint Pierre and Miquelon","Saint Pierre and Miquelon","2"
"Suriname","Suriname","2"
"Yemen","Yemen","2"
"Afghanistan","Afghanistan","2"
"Central African Republic","Central African Republic","1"
"Chad","Chad","2"
"Guam","Guam","1"
"Iraq","Iraq","5"
"Libya","Libya","2"
"Marshall Islands","Marshall Islands","2"
"Mongolia","Mongolia","2"
"Myanmar","Myanmar","6"
"Pacific Islands Trust Territory","Pacific Islands Trust Territory","1"
"Palau","Palau","1"
"Samoa","Samoa","1"
"Timor-Leste","Timor-Leste","2"
"Tonga","Tonga","1"
"Faroe Islands","Faroe Islands","2"
"Greenland","Greenland","2"
"Bahrain","Bahrain","2"
"Djibouti","Djibouti","2"
"Kiribati","Kiribati","2"
"French Guiana","French Guiana","2"
"Guadeloupe","Guadeloupe","2"
"Martinique","Martinique","2"
"Mayotte","Mayotte","2"
"Turkmenistan","Turkmenistan","6"
"Micronesia, Federated States of","Micronesia, Federated States of","2"
"Tajikistan","Tajikistan","6"
"Lao People's Democratic Republic","Lao People's Democratic Republic","1"
"Northern Mariana Islands","Northern Mariana Islands","2"
"Somalia","Somalia","3"
"Burundi","Burundi","3"
"Eritrea","Eritrea","3"
"Puerto Rico","Puerto Rico","2"
"United States Virgin Islands","United States Virgin Islands","4"
"Guinea-Bissau","Guinea-Bissau","1"
"Sao Tome and Principe","Sao Tome and Principe","1"
"Montenegro","Montenegro","6"
"Grenada","Grenada","2"
"Lesotho","Lesotho","3"
"Andorra","Andorra","1"
"Comoros","Comoros","3"
"Antigua and Barbuda","Antigua and Barbuda","3"
